Date,Open,High,Low,Close,Volume
2005-01-03,27.31,27.35,26.45,26.45,46085200
2005-01-04,26.41,26.6,26.03,26.45,38701800
2005-01-05,26.48,26.52,26.15,26.27,27448800
2005-01-06,26.4,26.52,26.28,26.29,20256000
2005-01-07,26.54,26.6,26.27,26.3,22322600
2005-01-10,26.33,26.51,26.25,26.44,19886500
2005-01-11,26.26,26.44,26.0,26.15,21362700
2005-01-12,26.18,26.25,25.92,26.03,26843800
2005-01-13,25.85,25.88,25.26,25.33,32749200
2005-01-14,25.34,25.51,25.24,25.25,25896800
2005-01-18,25.26,25.34,25.11,25.3,33999700
2005-01-19,25.5,25.72,24.82,24.88,43796600
2005-01-20,24.88,24.99,24.76,24.98,33726100
2005-01-21,25.0,25.06,24.48,24.48,45417900
2005-01-24,24.74,24.74,24.26,24.26,29675400
2005-01-25,24.41,24.72,24.3,24.59,32210300
2005-01-26,24.73,24.83,24.58,24.59,27750800
2005-01-27,24.65,24.72,24.55,24.68,26232400
2005-01-28,24.65,24.71,24.17,24.35,28669800
2005-01-31,24.62,24.68,23.99,24.16,43393400
2005-02-01,24.05,24.16,23.8,23.86,49432100
2005-02-02,24.05,24.21,23.92,24.07,34328800
2005-02-03,24.14,24.2,23.81,23.91,27501200
2005-02-04,24.0,24.41,23.93,24.23,29979900
2005-02-07,24.55,25.02,24.54,24.91,42553600
2005-02-08,25.21,25.86,25.12,25.55,47035000
2005-02-09,25.64,25.88,25.05,25.05,41709200
2005-02-10,25.15,25.18,24.69,25.05,24819200
2005-02-11,25.3,25.52,24.88,25.15,24756800
2005-02-14,25.21,25.52,24.4,25.48,23953600
2005-02-15,25.42,25.53,25.19,25.22,22813800
2005-02-16,25.03,25.05,24.73,24.95,36697400
2005-02-17,25.0,25.06,24.73,25.06,26392700
2005-02-18,25.06,27.75,24.6,26.8,92227104
2005-02-22,26.99,27.2,26.29,26.59,61978400
2005-02-23,26.68,26.77,26.31,26.31,43437000
2005-02-24,26.4,26.5,25.89,26.4,29389300
2005-02-25,26.5,26.9,26.33,26.86,23848900
2005-02-28,26.94,27.15,26.27,26.29,29397300
2005-03-01,26.53,26.79,26.45,26.61,25723600
2005-03-02,26.7,26.8,26.41,26.61,23346000
2005-03-03,26.87,26.87,26.5,26.59,21122800
2005-03-04,26.89,27.01,26.71,26.85,18775200
2005-03-07,26.98,27.25,26.9,27.18,22883200
2005-03-08,27.25,27.34,26.74,26.76,22551600
2005-03-09,26.81,26.85,26.57,26.74,21768900
2005-03-10,26.82,26.91,26.65,26.75,18759400
2005-03-11,26.85,26.85,26.28,26.36,16701400
2005-03-14,26.53,26.58,26.28,26.53,20367100
2005-03-15,26.7,26.83,26.28,26.29,19809500
2005-03-16,26.27,26.42,25.95,26.05,20102800
2005-03-17,25.95,26.15,25.8,26.01,17104900
2005-03-18,26.01,26.1,25.58,25.83,29804900
2005-03-21,25.8,25.9,25.4,25.71,17400000
2005-03-22,25.88,26.02,25.4,25.42,24740000
2005-03-23,25.42,26.08,25.42,26.04,32594900
2005-03-24,26.36,26.53,25.8,26.17,22142000
2005-03-28,26.3,26.6,26.14,26.23,15824200
2005-03-29,26.0,26.09,25.64,25.64,27505400
